,Nombre,Puntuación,Categoria,Costo Promedio,Coords
0,Tucco real food born,9.4,Inexpensive,Not specified,"{'lat': 41.38233810000001, 'lng': 2.1820273}"
1,Restaurant montiel,9.0,Expensive,Not specified,"{'lat': 41.38560469999999, 'lng': 2.1818199}"
2,Mimo's born,9.2,Moderate,Not specified,"{'lat': 41.3834191, 'lng': 2.1806433}"
3,Orvay,9.2,Not specified,Not specified,"{'lat': 41.3840651, 'lng': 2.1825757}"
4,La carassa,9.0,Not specified,Not specified,"{'lat': 41.3837717, 'lng': 2.1804143}"
5,Cremat 11,9.4,Not specified,Not specified,"{'lat': 41.3856044, 'lng': 2.1810658}"
6,Cremat 11,9.4,Not specified,Not specified,"{'lat': 41.3856044, 'lng': 2.1810658}"
7,Gravin,8.8,Moderate,Not specified,"{'lat': 41.3839286, 'lng': 2.1835929}"
8,Narciso,9.2,Inexpensive,Not specified,"{'lat': 41.3846234, 'lng': 2.1794329}"
9,Buon appetito,9.0,Moderate,Not specified,"{'lat': 41.385002, 'lng': 2.185041}"
10,Llamber,8.6,Moderate,Not specified,"{'lat': 41.3863924, 'lng': 2.1829845}"
11,La cua curta,8.8,Moderate,Not specified,"{'lat': 41.384593, 'lng': 2.180065}"
12,Vegetalia born,8.6,Moderate,Not specified,"{'lat': 41.3835421, 'lng': 2.1825799}"
13,Ikibana born,8.4,Expensive,Not specified,"{'lat': 41.3863831, 'lng': 2.1844244}"
14,Bastaix,8.8,Moderate,Not specified,"{'lat': 41.383634, 'lng': 2.182617}"
15,Nou celler,8.4,Moderate,Not specified,"{'lat': 41.3849806, 'lng': 2.1802389}"
16,Bodega la puntual,8.4,Moderate,Not specified,"{'lat': 41.3844615, 'lng': 2.1817323}"
17,Txirimiri,8.8,Inexpensive,Not specified,"{'lat': 41.3846931, 'lng': 2.1794736}"
18,Morelia,8.0,Moderate,Not specified,"{'lat': 41.3855138, 'lng': 2.183074}"
19,Tantarantana,8.4,Moderate,Not specified,"{'lat': 41.3866768, 'lng': 2.1815288}"
20,Cal pep,8.6,Expensive,Not specified,"{'lat': 41.3839621, 'lng': 2.1834106}"
